latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.99375,42.79375,664.24036,0.23334652,0.0028270641,-15.689697,-60.624878,-150.27777,25.225855,47.12351,200.30261
43.99375,42.80625,755.978,0.13953681,-0.00093778974,14.750793,25.314697,-53.51935,15.562374,48.46842,179.39417
43.99375,42.81875,812.37946,0.019342972,-0.0014309833,12.708618,31.545715,4.4243774,9.705025,34.60491,140.30286
43.99375,42.83125,752.284,0.14753267,0.002833731,-15.431702,-34.61743,-57.038574,14.32873,36.605156,148.01654
43.99375,42.84375,767.8098,0.12793519,0.00053119817,-2.1843872,-16.650696,-44.252625,17.100803,35.951355,150.20813
43.99375,42.85625,796.4079,0.042536795,-0.00031885787,1.4387817,4.9015503,-18.689758,5.9581876,35.34473,123.15546
43.99375,42.86875,779.0997,0.05034004,-4.647484e-06,-0.0791626,-3.7247314,-33.535522,8.667468,35.96787,139.6576
43.99375,42.88125,751.3012,0.05427772,-2.0689064e-05,0.4802246,-8.774963,-56.270935,8.605957,38.53894,162.22632
43.99375,42.89375,727.43207,0.045323923,0.00013578606,-0.96936035,-16.481262,-73.14581,9.23986,43.796406,166.28833
43.99375,42.90625,718.4106,0.037356284,0.00012363328,-1.6491699,-31.865967,-70.89911,5.720031,40.545498,166.28833
43.99375,42.91875,806.6333,0.05741041,-0.0010084718,9.125061,33.16748,26.86493,10.191909,29.449108,126.65631
43.99375,42.93125,798.4321,0.06761717,-6.590369e-05,1.1583862,19.105774,29.600525,11.968709,28.798872,109.56482
43.99375,42.94375,755.6045,0.076722205,-1.2951645e-05,0.65008545,2.1342773,-2.9418335,14.173038,35.48415,124.06073
43.99375,42.95625,727.61096,0.041594066,2.2741466e-05,-0.64556885,-8.695496,-120.78589,7.079901,22.362078,104.04205
43.99375,42.96875,740.10706,0.037100337,3.6169367e-05,0.5402832,13.088318,-263.4724,4.4860897,14.465476,74.04083
43.99375,42.98125,728.7318,0.019165225,-0.00013915158,2.2526245,22.435547,-429.28687,3.4550688,20.593536,96.41089
43.99375,42.99375,707.8617,0.032529604,-0.00027462444,3.8439941,-374.91077,-607.6958,6.356591,615.3447,1406.9661
43.98125,42.00625,981.6453,0.050924875,0.0013146715,-14.168335,-27.777649,-21.74945,11.805719,55.574276,227.05005
43.98125,42.01875,997.9206,0.112604365,0.00083758525,-10.213989,-5.038147,-2.451355,15.431299,51.45872,238.39899
43.98125,42.03125,962.3537,0.10279922,0.0002988384,-2.7907104,4.4956055,-41.3078,15.433324,53.20068,239.06708
43.98125,42.04375,860.88074,0.03734115,0.00179057,-16.809387,-72.234924,-143.9223,21.097986,50.464714,240.32025
43.98125,42.05625,916.0743,0.27228513,-0.0007021304,-2.2663574,-29.259827,-89.770935,23.640537,48.178703,215.3382
43.98125,42.06875,949.8446,0.106989756,0.00043895375,-10.34436,-37.67267,-58.81128,14.941553,42.655598,185.66754
